lemma,sense_name,definition,example,example_source,contains_word,Notes
fall,fall.v.03,pass suddenly and passively into a state of body or mind,Fall into a trap,wordnet,TRUE,
fall,accrue.v.02,come into the possession of,Fall into the wrong hands,hand_written,FALSE,
meat,meat.n.01,the flesh of animals (including fishes and birds and snails) used as food,Farmers raise turkeys for their meat and feathers,childes,TRUE,
fast,fast.s.05,resistant to destruction or fading,Fast colors,wordnet,TRUE,
fast,fast.a.01,acting or moving or capable of acting or moving quickly,Fast film,wordnet,TRUE,
fast,firm.s.10,unwavering in devotion to friend or vow or cause,Fast friends,wordnet,TRUE,
fast,debauched.s.01,unrestrained by convention or morality,Fast women,wordnet,TRUE,
dress,apparel.n.01,clothing in general,Fastidious about his dress,wordnet,TRUE,
feed,feed.v.04,introduce continuously,Feed carrots into a food processor,wordnet,TRUE,
feed,feed.v.10,gratify,Feed one's eyes on a gorgeous view,wordnet,TRUE,
feed,feed.v.01,provide as food,Feed the doggie,hand_written,FALSE,
feed,feed.v.02,give food to,Feed the doggie,hand_written,TRUE,
feed,tip.v.03,"give a tip or gratuity to in return for a service, beyond the compensation agreed on",Feed the steward,hand_written,FALSE,
sad,sad.a.01,experiencing or showing sorrow or unhappiness,Feeling sad because his dog had died,wordnet,TRUE,
sticky,sticky.s.02,moist as with undried perspiration and with clothing sticking to the body,Felt sticky and chilly at the same time,wordnet,TRUE,
stick,pin.n.05,informal terms for the leg,Fever left him weak on his sticks,wordnet,TRUE,
find,rule.v.04,decide on and make a declaration about,Find someone guilty,wordnet,TRUE,
find,determine.v.01,"establish after a calculation, investigation, experiment, survey, or study",Find the product of two numbers,wordnet,TRUE,
fine,fine.s.04,characterized by elegance or refinement or accomplishment,Fine wine,wordnet,TRUE,
first,first.s.02,indicating the beginning unit in a series,First in line,hand_written,TRUE,
first,first.a.06,highest in pitch or chief among parts or voices or instruments or orchestra sections,First soprano,wordnet,TRUE,
chips,french_fries.n.01,strips of potato fried in deep fat,Fish and chips,hand_written,TRUE,
fit,fit.v.04,make fit,Fit a dress,wordnet,TRUE,
fix,fix.v.10,influence an event or its outcome by illegal means,Fix a race,wordnet,TRUE,
fix,cook.v.02,prepare for eating by applying heat,"Fix breakfast for the guests, please",wordnet,TRUE,
fix,specify.v.02,decide upon or fix definitely,Fix the variables,wordnet,TRUE,
fix,situate.v.02,put (something somewhere) firmly,Fix your eyes on this spot,wordnet,TRUE,
light,light.n.06,a condition of spiritual awareness; divine illumination,Follow God's light,wordnet,TRUE,
food,food.n.02,any solid substance (as opposed to liquid) that is used as a source of nourishment,Food and drink,wordnet,TRUE,
game,game.n.11,frivolous or trifling behavior,"For actors, memorizing lines is no game",wordnet,TRUE,
dirty,dirty.s.07,(of a manuscript) defaced with changes,Foul (or dirty) copy,wordnet,TRUE,
make,make.v.32,add up to,Four and four make eight,wordnet,TRUE,
couch,couch.n.03,a narrow bed on which a patient lies during psychiatric or psychoanalytic treatment,Freud always had people lay on his couch during analysis,hand_written,TRUE,
green,green.a.03,not fully developed or mature; not ripe,Fried green tomatoes,wordnet,TRUE,
find,find.v.13,perceive oneself to be in a certain condition or place,Froggie's going to find himself in big trouble in a minute,childes,TRUE,
salt,strategic_arms_limitation_talks.n.01,negotiations between the United States and the Union of Soviet Socialist Republics opened in 1969 in Helsinki designed to limit both countries' stock of nuclear weapons,Full scale SALT negotiations began in November 1969,hand_written,FALSE,
full,broad.s.05,being at a peak or culminating point,Full summer,wordnet,TRUE,
full,full.a.05,(of sound) having marked deepness and body,Full tones,wordnet,TRUE,
give,contribute.v.02,contribute to some cause,Gave at the office,wordnet,FALSE,
full,entire.s.01,constituting the full quantity or extent; complete,Gave full attention,wordnet,TRUE,
goose,goose.n.01,web-footed long-necked typically gregarious migratory aquatic birds usually larger and less aquatic than ducks,Geese do live on the water don't they,childes,FALSE,
tree,tree.n.02,a figure that branches from a single root,Genealogical tree,wordnet,TRUE,
gentle,easy.s.05,having little impact,Gentle rain,wordnet,TRUE,
mop,swab.n.02,cleaning implement consisting of absorbent material fastened to a handle; for cleaning floors,Get a mop and clean this mess,hand_written,TRUE,
basket,basket.n.01,a container that is usually woven and has handles,Get a shopping basket,hand_written,TRUE,
get,experience.v.03,go through (mental or physical states or experiences),Get an idea,wordnet,TRUE,
go,become.v.01,enter or assume a certain state or condition,Get going!,wordnet,TRUE,
nail,nail.n.02,a thin pointed piece of metal that is hammered into materials as a fastener,"Get her some wood, a hammer, and nails",childes,TRUE,
get,bring.v.04,go or come after and bring or take back,"Get me those books over there, please",wordnet,FALSE,
grass,eatage.n.01,bulky food like grass or hay for browsing or grazing horses or cattle,Get some grass for the horses,hand_written,TRUE,
get,make.v.02,give certain properties to something,Get someone mad,wordnet,TRUE,
get,catch.v.07,attract and fix,Get the attention of the waiter,hand_written,FALSE,
broom,broom.n.01,a cleaning implement for sweeping; bundle of straws or twigs attached to a long handle,Get the broom and clean up this mess,hand_written,TRUE,
sofa,sofa.n.01,an upholstered seat for more than one person,Get the dog off the sofa,hand_written,TRUE,
gloves,glove.n.02,handwear: covers the hand and wrist,"Get your coat, your hat, and gloves",childes,TRUE,
play,act.v.03,play a role or part,Gielgud played Hamlet,wordnet,TRUE,
tongue,tongue.n.01,a mobile mass of muscular tissue covered with mucous membrane and located in the oral cavity,Giraffes have very long tongues,childes,TRUE,
give,hold.v.03,organize or be responsible for,Give a course,wordnet,TRUE,
give,give.v.35,accord by verdict,Give a decision for the plaintiff,wordnet,TRUE,
give,grant.v.05,"bestow, especially officially",Give a divorce,wordnet,TRUE,
give,impart.v.01,transmit (knowledge or skills),Give a secret to the Russians,wordnet,TRUE,
give,give.v.15,emit or utter,Give a yelp,wordnet,TRUE,
give,give.v.28,execute and deliver,Give bond,wordnet,FALSE,
give,give.v.21,bestow,Give homage,wordnet,TRUE,
hand,hand.n.14,physical assistance,Give me a hand with the chores,wordnet,TRUE,
cover,cover.v.09,hold within range of an aimed firearm,Give me cover!,hand_written,TRUE,
give,pass.v.05,place into the hands or custody of,"Give me the spoon, please",wordnet,FALSE,
give,give.v.04,convey or reveal information,Give one's name,wordnet,TRUE,
give,give.v.38,"submit for consideration, judgment, or use",Give one's opinion,wordnet,TRUE,
give,give.v.18,"give entirely to a specific person, activity, or cause",Give one's talents to a good cause,wordnet,TRUE,
hand,hand.n.12,a round of applause to signify approval,Give the little lady a great big hand,wordnet,TRUE,
give,give.v.05,"convey, as of a compliment, regards, attention, etc.; bestow",Give the orders,wordnet,TRUE,
give,give.v.10,dedicate,Give thought to,wordnet,TRUE,
full,full.s.06,having the normally expected amount,Gives full measure,wordnet,TRUE,
good,full.s.06,having the normally expected amount,Gives good measure,wordnet,TRUE,
necklace,necklace.n.01,jewelry consisting of a cord or chain (often bearing gems) worn about the neck as an ornament (especially by women),Glenmae is wearing a necklace around her neck,childes,TRUE,
go,go.v.03,move away from a place into another direction,Go away!,hand_written,TRUE,
keys,winder.n.02,mechanical device used to wind another device that is driven by a spring (as a clock),"Go get the key, I need to fix this clock",hand_written,FALSE,
grapes,grape.n.02,any of numerous woody vines of genus Vitis bearing clusters of edible berries,Go pick the fruits off the grape vine,hand_written,FALSE,
bedroom,bedroom.n.01,a room used primarily for sleeping,Go to your bedroom,wordnet,TRUE,
helicopter,helicopter.n.01,an aircraft without wings that obtains its lift from the rotation of overhead blades,Go up in the air on a helicopter,childes,TRUE,
vacuum,vacuum.n.04,an electrical home appliance that cleans by suction,Going to have_to go round with the vacuum cleaner I think and pick up all these bits,childes,TRUE,
fine,fine.s.06,free from impurities; having a high or specified degree of purity,Gold 21 carats fine,wordnet,TRUE,
get,get.v.25,receive as a retribution or punishment,Gonna get a smack in a bit,childes,TRUE,
clean,clean.a.08,(of behavior or especially language) free from objectionable elements; fit for all observers,Good clean fun,wordnet,TRUE,
good,good.s.15,capable of pleasing,Good looks,wordnet,TRUE,
good,good.s.16,appealing to the mind,Good music,wordnet,TRUE,
good,good.a.01,having desirable or positive qualities especially those suitable for a thing specified,Good news from the hospital,wordnet,TRUE,
old,old.s.03,(used for emphasis) very familiar,Good old boy,wordnet,TRUE,
good,good.s.21,generally admired,Good taste,wordnet,TRUE,
good,good.s.17,in excellent physical condition,Good teeth,wordnet,TRUE,
potty,toilet.n.02,a plumbing fixture for defecation and urination,Gotta go potty,childes,TRUE,
ball,ball.n.11,the game of baseball,Grab your bat and we'll go play ball,hand_written,TRUE,
big,big.s.02,significant,Graduation was a big day in his life,wordnet,TRUE,
sweater,sweater.n.01,a crocheted or knitted garment covering the upper part of the body,Grandma made you so many nice sweaters didn't she,childes,TRUE,
grapes,grapeshot.n.01,a cluster of small projectiles fired together from a cannon to produce a hail of shot,Grape was used both in land and naval warfare,hand_written,FALSE,
bump,find.v.01,"come upon, as if by accident; meet with",Great to bump into you,hand_written,TRUE,
fall,fall.v.31,go as if by falling,Grief fell from our hearts,wordnet,FALSE,
bite,bite.v.01,"to grip, cut off, or tear with or as if with the teeth or jaws",Gunny invariably tried to bite her,wordnet,TRUE,
good,good.s.09,thorough,Had a good workout,wordnet,TRUE,
hard,hard.s.11,unfortunate or hard to bear,Had hard luck,wordnet,TRUE,
cold,cold.s.05,marked by errorless familiarity,Had her lines cold before rehearsals started,wordnet,TRUE,
old,honest-to-god.s.01,(used informally especially for emphasis),Had us a high old time,wordnet,TRUE,
closet,wardrobe.n.01,a tall piece of furniture that provides storage space for clothes; has a door and rails or hooks for hanging clothes,Hang your clothes in the closet,hand_written,TRUE,
hard,hard.s.12,dried out,Hard dry rolls left over from the day before,wordnet,TRUE,
hard,arduous.s.01,characterized by effort to the point of exhaustion; especially physical effort,Hard labor,wordnet,TRUE,
hard,hard.s.10,being distilled rather than fermented; having a high alcoholic content,Hard liquor,wordnet,TRUE,
bad,bad.s.10,physically unsound or diseased,Has a bad back,wordnet,TRUE,
have,experience.v.03,go through (mental or physical states or experiences),Have a feeling,wordnet,TRUE,
have,have.v.07,have a personal or business relationship with someone,Have a postdoc,wordnet,TRUE,
have,consume.v.02,"serve oneself to, or consume regularly",Have another bowl of chicken soup!,wordnet,FALSE,
corn,corn.n.05,(Great Britain) any of various cereal plants (especially the dominant crop of the region--wheat in Great Britain or oats in Scotland and Ireland),Have some corn cereal for breakfast,hand_written,TRUE,
wind,fart.n.01,a reflex that expels intestinal gas through the anus,Have you got wind now,childes,TRUE,
have,hold.v.03,organize or be responsible for,"Have, throw, or make a party",wordnet,TRUE,
make,hold.v.03,organize or be responsible for,"Have, throw, or make a party",wordnet,TRUE,
throw,hold.v.03,organize or be responsible for,"Have, throw, or make a party",wordnet,TRUE,
lips,brim.n.01,the top edge of a vessel or other container,He added salt on the lip of the glass,hand_written,TRUE,
spoon,spoon.n.02,as much as a spoon will hold,He added two spoons of sugar,wordnet,TRUE,
bus,bus.n.01,a vehicle carrying many passengers; used for public transport,He always rode the bus to work,wordnet,TRUE,
cat,caterpillar.n.02,a large tracked vehicle that is propelled by two endless metal belts; frequently used for moving earth in construction and farm work,He always wanted to drive the big CAT,hand_written,FALSE,
bench,bench.n.07,(law) the seat for judges in a courtroom,He approached the bench with a document in hand,hand_written,TRUE,
water,water.n.06,a liquid necessary for the life of most animals and plants,He asked for a drink of water,wordnet,TRUE,
snow,coke.n.03,street names for cocaine,He asked if I had any snow to buy,hand_written,TRUE,
head,drumhead.n.01,a membrane that is stretched taut over a drum,He beat the head of his drum,hand_written,TRUE,
swim,float.v.02,be afloat either on or below a liquid surface and not sink to the bottom,He began to swim across the pool surface,hand_written,FALSE,
show,show.v.12,finish third or better in a horse or dog race,He bet $2 on number six to show,wordnet,TRUE,
blow,waste.v.01,spend thoughtlessly; throw away,He blew his inheritance on his insincere friends,hand_written,FALSE,
book,book.n.11,a number of sheets (ticket or stamps etc.) bound together on one edge,He bought a book of stamps,wordnet,TRUE,
gloves,boxing_glove.n.01,boxing equipment consisting of big and padded coverings for the fists of the fighters; worn for the sport of boxing,He bought a new pair of gloves for boxing,hand_written,TRUE,
plate,plate.n.09,any flat platelike body structure or part,He broke his chest plate in a car accident,hand_written,TRUE,
break,break.v.04,ruin completely,He broke my radio!,hand_written,FALSE,
leg,branch.n.03,a part of a forked or branching shape,He broke off the left leg of the branch,hand_written,TRUE,
break,unwrap.v.02,make known to the public information that was previously known only to a few people or that was meant to be kept a secret,He broke the news to her,wordnet,FALSE,
tape,tape.n.03,the finishing line for a foot race,He broke the tape in record time,wordnet,TRUE,
build,construct.v.01,make by combining materials and parts,He built our house,hand_written,FALSE,
hold,carry.v.33,drink alcohol without showing ill effects,He can hold his liquor,wordnet,TRUE,
carry,carry.v.39,sing or play against other voices or parts,He cannot carry a tune,wordnet,TRUE,
carry,hold.v.14,support or hold in a certain manner,He carried himself upright,wordnet,FALSE,
carry,carry.v.37,secure the passage or adoption (of bills and motions),He carried the bill through the senate,wordnet,FALSE,
catch,catch.v.28,become aware of,He caught her staring out the window,wordnet,FALSE,
money,money.n.03,the official currency issued by a government or national bank,He changed his money into francs,wordnet,TRUE,
chase,chase.v.02,pursue someone sexually or romantically,He chased his wife for 2 years before they got together,hand_written,TRUE,
ladder,ladder.n.02,ascending stages by which somebody or something can progress,He climbed the career ladder,wordnet,TRUE,
close,close.v.10,change one's body stance so that the forward shoulder and foot are closer to the intended point of impact,He closed his stance towards the target,hand_written,TRUE,
stick,stick.n.01,an implement consisting of a length of wood,He collected dry sticks for a campfire,wordnet,TRUE,
hair,hair.n.01,a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss,He combed his hair,wordnet,TRUE,
drop,devolve.v.03,grow worse,He conditions dropped,hand_written,TRUE,
touch,touch.v.13,comprehend,He could not touch the meaning of the poem,wordnet,TRUE,
light,light.n.07,the visual effect of illumination on objects or scenes as created in pictures,He could paint the lightest light and the darkest dark,wordnet,TRUE,
window,window.n.04,an opening that resembles a window in appearance or function,He could see them through a window in the trees,wordnet,TRUE,
cover,cover.v.24,be responsible for guarding an opponent in a game,He covered left field,wordnet,TRUE,
cover,cover.v.12,protect or defend (a position in a game),He covered left field,wordnet,TRUE,
face,face.n.08,the side upon which the use of a thing depends (usually the most prominent surface of an object),He dealt the cards face down,wordnet,TRUE,
picture,mental_picture.n.01,a clear and telling mental image,He described his mental picture of his assailant,wordnet,TRUE,
butt,buttocks.n.01,the fleshy part of the human body that you sit on,He deserves a good kick in the butt,wordnet,TRUE,
can,buttocks.n.01,the fleshy part of the human body that you sit on,He deserves a good kick in the can,hand_written,TRUE,
butterfly,butterfly.n.02,a swimming stroke in which the arms are thrown forward together out of the water while the feet kick up and down,He did a butterfly stroke,hand_written,TRUE,
think,think.v.02,"expect, believe, or suppose",He didn't think to find her in the kitchen,wordnet,TRUE,
alligator,alligator.n.02,either of two amphibious reptiles related to crocodiles but with shorter broader snouts,He didn't want to be eaten by the alligator did he,childes,TRUE,
bubbles,bubble.n.03,an impracticable and illusory idea,He didn't want to burst the newcomer's bubble,wordnet,FALSE,
cup,cup.n.02,the quantity a cup will hold,He drank a cup of coffee,wordnet,TRUE,
jar,jar.n.02,the quantity contained in a jar,He drank a jar of beer,wordnet,TRUE,
draw,draw.v.15,earn or achieve a base by being walked by the pitcher,He drew a base on balls,wordnet,FALSE,
draw,describe.v.01,give a description of,He drew an elaborate plan of attack,wordnet,FALSE,
draw,reap.v.02,get or derive,He drew great benefits from his membership in the association,wordnet,FALSE,
draw,absorb.v.04,"take in, also metaphorically",He drew strength from the minister's words,wordnet,FALSE,
drive,drive.v.13,work as a driver,He drives a bread truck,wordnet,TRUE,
drive,force.v.06,"force into or from an action or state, either physically or metaphorically",He drives me mad,wordnet,TRUE,
drop,shed.v.01,get rid of,He dropped his image as a pushy boss,hand_written,FALSE,
nose,nose.n.03,the front or forward projection of a tool or weapon,He ducked under the nose of the gun,wordnet,TRUE,
dump,deck.v.03,knock down with force,He dumped his opponent,hand_written,TRUE,
table,table.n.05,a company of people assembled at a table for a meal or game,He entertained the whole table with his witty remarks,wordnet,TRUE,
take,take.v.27,head into a specified direction,He escaped convict took to the hills,wordnet,TRUE,
feed,prey.v.01,profit from in an exploitatory manner,He feeds on her insecurity,wordnet,TRUE,
bad,regretful.a.01,feeling or expressing regret or sorrow or a sense of loss over something done or undone,He felt bad about breaking the vase,wordnet,TRUE,
light,light.n.10,mental understanding as an enlightening experience,He finally saw the light,wordnet,TRUE,
finish,complete.v.01,come or bring to a finish or an end,He finished the dishes,wordnet,TRUE,
foot,foot.n.07,travel by walking,He followed on foot,wordnet,TRUE,
glass,field_glass.n.01,a small refracting telescope,He forgot to bring his glass on safari,hand_written,TRUE,
glasses,field_glass.n.01,a small refracting telescope,He forgot to bring his glasses on safari,hand_written,TRUE,
box,box.n.03,the quantity contained in a box,He gave her a box of chocolates,wordnet,TRUE,
give,give.v.37,offer in good faith,He gave her his word,wordnet,FALSE,
brush,brush.n.08,the act of brushing your hair,He gave his hair a quick brush,wordnet,TRUE,
give,sacrifice.v.01,endure the loss of,He gave his life for his children,wordnet,FALSE,
give,yield.v.01,be the cause or source of,He gave me a lot of trouble,wordnet,FALSE,
give,give.v.34,propose,He gave the first of many toasts at the birthday party,wordnet,FALSE,
give,give.v.31,present to view,He gave the sign to start,wordnet,FALSE,
belt,knock.n.05,the act of hitting vigorously,He gave the table a belt,hand_written,TRUE,
cookie,cookie.n.01,any of various small flat sweet cakes (`biscuit' is the British term),He gave you a chocolate chip cookie at ten o'clock in the morning,childes,TRUE,
get,get.v.03,cause to move; cause to be in a certain position or condition,He got a girl into trouble,wordnet,TRUE,
mouse,shiner.n.01,a swollen bruise caused by a blow to the eye,He got a mouse on his eye after the fight,hand_written,TRUE,
grass,pot.n.09,street names for marijuana,He got caught selling grass,hand_written,TRUE,
high,high.s.07,slightly and pleasantly intoxicated from alcohol or a drug (especially marijuana),He got very high last week,hand_written,TRUE,
wind,tip.n.03,an indication of potential opportunity,He got wind on the stock market,hand_written,TRUE,
ear,ear.n.02,good hearing,He had a keen ear,wordnet,TRUE,
bowl,roll.n.15,the act of rolling something (as the ball in bowling),He had a perfect bowl,hand_written,TRUE,
have,suffer.v.02,undergo (as of injuries and illnesses),He had an insulin shock after eating three candy bars,wordnet,FALSE,
carry,carry.v.33,drink alcohol without showing ill effects,He had drunk more than he could carry,wordnet,TRUE,
light,sparkle.n.01,merriment expressed by a brightness or gleam or animation of countenance,He had light in his eyes,hand_written,TRUE,
take,take.v.35,have sex with; archaic use,He had taken this woman when she was most vulnerable,wordnet,TRUE,
hand,hand.n.01,the (prehensile) extremity of the superior limb,He had the hands of a surgeon,wordnet,TRUE,
nose,nose.n.01,the organ of smell and entrance to the respiratory tract; the prominent part of the face of man or other mammals,He has a cold in the nose,wordnet,TRUE,
gloves,baseball_glove.n.01,the handwear used by fielders in playing baseball,He has a glove and he's catching the ball,childes,FALSE,
nose,nose.n.07,a natural skill,He has a nose for good deals,wordnet,TRUE,
mouth,mouth.n.05,a person conceived as a consumer of food,He has four mouths to feed,wordnet,TRUE,
paper,paper.n.05,a scholarly article describing the results of observations or stating hypotheses,He has written many scientific papers,wordnet,TRUE,
hold,bear.v.11,"have rightfully; of rights, titles, and offices",He held the governorship for almost a decade,wordnet,TRUE,
hit,score.v.01,gain points in a game,He hit a home run,wordnet,TRUE,
keys,key.n.09,(basketball) a space (including the foul line) in front of the basket at each end of a basketball court; usually painted a different color from the rest of the court,He hit a jump shot from the top of the key,wordnet,FALSE,
hit,hit.v.03,"deal a blow to, either with the hand or with an instrument",He hit her hard in the face,wordnet,TRUE,
hit,hit.v.12,drive something violently into a location,He hit his fist on the table,wordnet,TRUE,
hug,embrace.v.02,"squeeze (someone) tightly in your arms, usually with fondness",He hugged her close to him,wordnet,TRUE,
nuts,crackpot.n.01,a whimsically eccentric person,He is a nut,hand_written,FALSE,
star,headliner.n.01,a performer who receives prominent billing,He is a star of the movie,hand_written,TRUE,
pig,hog.n.01,a person regarded as greedy and pig-like,He is a such a greedy pig,hand_written,TRUE,
cover,cover.v.15,make up for shortcomings or a feeling of inferiority by exaggerating good qualities,He is covering for being a bad father,hand_written,TRUE,
asleep,asleep.s.03,dead,"He is now asleep, our dear departed",hand_written,TRUE,
play,play.v.15,"put (a card or piece) into play during a game, or act strategically as if in a card game",He is playing his cards close to his chest,wordnet,TRUE,
tractor,tractor.n.02,a truck that has a cab but no body; used for pulling large trailers or vans,He is pulling a van with his tractor,hand_written,TRUE,
read,read.v.09,audition for a stage role by reading parts of a role,He is reading for 'Julius Caesar' at stratford this year,hand_written,TRUE,
run,race.v.02,compete in a race,He is running the Marathon this year,wordnet,TRUE,
chair,chair.n.05,a particular seat in an orchestra,He is second chair violin,wordnet,TRUE,
sheep,sheep.n.02,a timid defenseless simpleton who is readily preyed upon,He is the sheep of the company,hand_written,TRUE,
head,head.n.11,the length or height based on the size of a human or animal head,He is two heads taller than his little sister,wordnet,TRUE,
wait,expect.v.03,look forward to the probable occurrence of,He is waiting to be drafted,wordnet,TRUE,
work,work.v.12,cause to work,He is working his servants hard,wordnet,TRUE,
drink,drink.n.04,any large deep body of water,He jumped into the drink and had to be rescued,wordnet,TRUE,
jump,jump.v.06,enter eagerly into,He jumped into the game,wordnet,TRUE,
jump,alternate.v.01,go back and forth; swing back and forth between two states or conditions,He kept jumping in and out of focus,hand_written,TRUE,
kick,kick.v.07,make a goal,He kicked the extra point after touchdown,wordnet,TRUE,
door,door.n.01,a swinging or sliding barrier that will close the entrance to a room or building or vehicle,He knocked on the door,wordnet,TRUE,
knock,knock.v.01,deliver a sharp blow or push :,He knocked the glass clear across the room,wordnet,TRUE,
clean,clean.s.17,free from clumsiness; precisely or deftly executed,He landed a clean left on his opponent's cheek,wordnet,TRUE,
pony,pony.n.02,an informal term for a racehorse,He liked to bet on the ponies,wordnet,FALSE,
block,block.n.02,a rectangular area in a city surrounded by streets and usually containing several buildings,He lives in the next block,wordnet,TRUE,
face,face.n.05,a part of a person that is used to refer to a person,He looked out at a roomful of faces,wordnet,TRUE,
face,face.n.11,status in the eyes of others,He lost face,wordnet,TRUE,
puzzle,puzzle.n.01,a particularly baffling problem that is said to have a correct solution,He loved to solve chessmate puzzles,wordnet,TRUE,
chips,chip.n.09,the act of chipping something,He made a chip on the bark of the tree,hand_written,FALSE,
moon,moon.n.02,any object resembling a moon,He made a moon lamp that he used as a night light,wordnet,TRUE,
basket,basket.n.04,a score in basketball made by throwing the ball through the hoop,He made the basket,hand_written,TRUE,
purse,purse.n.02,a sum of money spoken of as the contents of a money purse,He made the contribution out of his own purse,wordnet,TRUE,
make,make.v.35,appear to begin an activity,He made to speak but said nothing in the end,wordnet,FALSE,
make,make.v.14,be or be capable of being changed or made into,He makes a great host,wordnet,TRUE,
horse,knight.n.02,a chessman shaped to resemble the head of a horse; can move two squares horizontally and one vertically (or vice versa),He moved his horse to checkmate,hand_written,TRUE,
stone,stone.n.13,a lack of feeling or expression or movement,He must have a heart of stone,wordnet,TRUE,
car,car.n.01,a motor vehicle with four wheels; usually propelled by an internal combustion engine,He needs a car to get to work,wordnet,TRUE,
open,open.v.04,"begin or set in action, of meetings, speeches, recitals, etc.",He opened the meeting with a long speech,wordnet,TRUE,
coffee,coffee.n.01,a beverage consisting of an infusion of ground coffee beans,He ordered a cup of coffee,wordnet,TRUE,
paint,paint.v.01,make a painting,He painted all day in the garden,wordnet,TRUE,
paint,paint.v.03,make a painting of,He painted his mistress many times,wordnet,TRUE,
stairs,step.n.04,support consisting of a place to rest the foot while ascending or descending a stairway,He paused on the bottom stair,hand_written,FALSE,
pick,nibble.v.03,eat intermittently; take small bites of,He picked at the sandwich all morning,hand_written,TRUE,
bed,bed.n.07,the flat surface of a printing press on which the type form is laid in the last stage of producing a newspaper or magazine or book etc.,He placed the letter stamps on the bed and layed the white paper over them,hand_written,TRUE,
play,play.v.10,bet or wager (money),He played $20 on the new horse,wordnet,TRUE,
ball,ball.n.06,a spherical object used as a plaything,He played with his rubber ball in the bathtub,wordnet,TRUE,
swing,lilt.n.01,a jaunty rhythm in music,He plays a nice swing,hand_written,TRUE,
shorts,shortstop.n.02,the fielding position of the player on a baseball team who is stationed between second and third base,He plays shortstop this game,hand_written,FALSE,
play,play.v.07,perform music on (a musical instrument),He plays the flute,wordnet,TRUE,
closet,closet.n.04,a small private room for study or prayer,He prays in the closet,hand_written,TRUE,
pretend,feign.v.01,make believe with the intent to deceive,He pretended he was a rich man,childes,TRUE,
push,push.v.02,"press, drive, or impel (someone) to action or completion of an action",He pushed her to finish her doctorate,wordnet,TRUE,
push,push.v.01,"move with force,",He pushed the table into a corner,wordnet,TRUE,
put,put.v.07,cause (someone) to undergo something,He put her to the torture,wordnet,TRUE,
chair,chair.n.01,"a seat for one person, with a support for the back",He put his coat over the back of the chair and sat down,wordnet,TRUE,
cup,cup.n.01,a small open container usually used for drinking; usually has a handle,He put the cup back in the saucer,wordnet,TRUE,
wind,wind.n.08,the act of winding or twisting,He put the key in the old clock and gave it a good wind,wordnet,TRUE,
run,run.v.33,run with the ball; in such sports as football,He ran 30 yards to a touchdown,hand_written,FALSE,
run,run.v.25,"deal in illegally, such as arms or liquor",He ran guns for the militia,hand_written,FALSE,
paper,newspaper.n.01,a daily or weekly publication on folded sheets; contains news and articles and advertisements,He read his newspaper at breakfast,wordnet,TRUE,
block,block.n.04,a number or quantity of related things dealt with as a unit,He reserved a large block of seats,wordnet,TRUE,
elephant,elephant.n.01,five-toed pachyderm,He rewarded the elephant with a big peanut,childes,TRUE,
ride,ride.v.10,sit on and control a vehicle,He rides his bicycle to work every day,wordnet,TRUE,
rip,rip.v.03,cut (wood) along the grain,He riped the wood for making a table,hand_written,TRUE,
mouth,mouth.n.03,an opening that resembles a mouth (as of a cave or a gorge),He rode into the mouth of the canyon,wordnet,TRUE,
box,box.n.01,a (usually rectangular) container; may have a lid,He rummaged through a box of spare parts,wordnet,TRUE,
say,state.v.01,express in words,He said that he wanted to marry her,wordnet,FALSE,
bed,bed.n.01,a piece of furniture that provides a place to sleep,He sat on the edge of the bed,wordnet,TRUE,
see,experience.v.01,go or live through,He saw action in Viet Nam,wordnet,TRUE,
bed,bed.n.03,a depression forming the ground under a body of water,He searched for treasure on the ocean bed,wordnet,TRUE,
draw,draw.v.19,engage in drawing,He spent the day drawing in the garden,wordnet,TRUE,
keys,key.n.03,pitch of the voice,He spoke in a low key,wordnet,FALSE,
tongue,tongue.n.04,a manner of speaking,He spoke with a thick tongue,wordnet,TRUE,
stay,stay.v.10,fasten with stays,He stayed the shelf against the wall,hand_written,TRUE,
light,light.n.05,an illuminated area,He stepped into the light,wordnet,TRUE,
foot,foundation.n.03,lowest support of a structure,He stood at the foot of the tower,wordnet,TRUE,
pool,pool.n.08,something resembling a pool of liquid,He stood in a pool of light,wordnet,TRUE,
light,light.n.02,any device serving as a source of illumination,He stopped the car and turned off the lights,wordnet,TRUE,
door,doorway.n.01,the entrance (the space in a wall) through which you enter or leave a room or building; the space that a door can close,He stuck his head in the doorway,wordnet,TRUE,
window,window.n.07,an opening in a wall or screen that admits light and air and through which customers can be served,He stuck his head in the window,wordnet,TRUE,
head,head.n.01,the upper part of the human body or the front part of the body in animals; contains the face and brains,He stuck his head out the window,wordnet,TRUE,
medicine,medicine.n.03,the learned profession that is mastered by graduate training in a medical school and that is devoted to preventing or alleviating or curing diseases and injuries,He studied medicine at Harvard,wordnet,TRUE,
mouth,mouth.n.01,the opening through which food is taken in and vocalizations emerge,He stuffed his mouth with candy,wordnet,TRUE,
cup,cup.n.07,the hole (or metal container in the hole) on a golf green,He swore as the ball rimmed the cup and rolled away,wordnet,TRUE,
take,take.v.09,"travel or go by means of a certain kind of transportation, or a certain route",He takes the bus to work,wordnet,TRUE,
