dirty_2,dirty,(of a manuscript) defaced with changes <br /> <i>(Example: Foul (or dirty) copy)</i>,(of color) discolored by impurities; not bright and clear;  is often used in combination <br /> <i>(Example: Dirty)</i>,(of behavior or especially language) characterized by obscenity or indecency <br /> <i>(Example: Dirty words)</i>,vile; despicable <br /> <i>(Example: A dirty (or lousy) trick)</i>,contaminated with infecting organisms <br /> <i>(Example: Dirty wounds)</i>,5
run_2,run,"carry out a process or program, as on a computer or a machine <br /> <i>(Example: Run a new program on the Mac)</i>","move along, of liquids <br /> <i>(Example: The Missouri runs into the Mississippi)</i>",change or be different within limits <br /> <i>(Example: Interest rates run from 5 to 10 percent)</i>,perform as expected when applied <br /> <i>(Example: Does this old car still run well?)</i>,"deal in illegally, such as arms or liquor <br /> <i>(Example: He ran guns for the militia)</i>",5
sleepy_1,sleepy,ready to fall asleep <br /> <i>(Example: Beginning to feel sleepy)</i>,,,,,1
cut_8,cut,"weed out unwanted or unnecessary things <br /> <i>(Example: We had to lose weight, so we cut the sugar from our diet)</i>",dissolve by breaking down the fat of <br /> <i>(Example: Soap cuts grease)</i>,be able to manage or manage successfully <br /> <i>(Example: She could not cut the long days in the office)</i>,fell by sawing; hew <br /> <i>(Example: The Vietnamese cut a lot of timber while they occupied Cambodia)</i>,stop filming <br /> <i>(Example: Cut a movie scene)</i>,5
train_2,train,public transport provided by a line of railway cars coupled together and drawn by a locomotive <br /> <i>(Example: Express trains don't stop at Princeton Junction)</i>,,,,,1
make_9,make,give certain properties to something <br /> <i>(Example: Don't make this into a big deal)</i>,be suitable for <br /> <i>(Example: Wood makes good furniture)</i>,cause to be enjoyable or pleasurable <br /> <i>(Example: Make my day)</i>,undergo fabrication or creation <br /> <i>(Example: This wool makes into a nice sweater)</i>,eliminate urine <br /> <i>(Example: Do you have to make potty?)</i>,5
asleep_1,asleep,lacking sensation <br /> <i>(Example: My foot is asleep)</i>,in a state of sleep <br /> <i>(Example: We were all asleep when the phone rang)</i>,"dead <br /> <i>(Example: He is now asleep, our dear departed)</i>",,,3
share_1,share,communicate <br /> <i>(Example: I'd like to share this idea with you)</i>,have in common <br /> <i>(Example: Our children share a love of music)</i>,"have, give, or receive a share of <br /> <i>(Example: We shared the cake)</i>",give out as one's portion or share <br /> <i>(Example: Can you share the cookies with your sister?)</i>,use jointly or in common <br /> <i>(Example: Can you share the toy with your sister?)</i>,5
sit_1,sit,serve in a specific professional capacity <br /> <i>(Example: She sat on the jury)</i>,be in session <br /> <i>(Example: When does the court of law sit?)</i>,show to a seat; assign a seat for <br /> <i>(Example: You could sit somebody in the back)</i>,take a seat <br /> <i>(Example: Please sit down)</i>,"sit and travel on the back of animal, usually while controlling its motions <br /> <i>(Example: She never sat a horse!)</i>",5
tired_1,tired,repeated too often; overfamiliar through overuse <br /> <i>(Example: Tired metaphor)</i>,depleted of strength or energy <br /> <i>(Example: Tired mothers with crying babies)</i>,,,,2
table_1,table,a piece of furniture with tableware for a meal laid out on it <br /> <i>(Example: I reserved a table at my favorite restaurant)</i>,flat tableland with steep edges <br /> <i>(Example: The tribe was relatively safe on the table but they had to descend into the valley for water)</i>,a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs <br /> <i>(Example: It was a sturdy table)</i>,a set of data arranged in rows and columns <br /> <i>(Example: See table 1)</i>,food or meals in general <br /> <i>(Example: She sets a fine table)</i>,5
bump_1,bump,dance erotically or dance with the pelvis thrust forward <br /> <i>(Example: Bump and grind)</i>,knock against with force or violence <br /> <i>(Example: My car bumped into the tree)</i>,assign to a lower position; reduce in rank <br /> <i>(Example: She was bumped because she always speaks up)</i>,"come upon, as if by accident; meet with <br /> <i>(Example: Great to bump into you)</i>",remove or force from a position of dwelling previously occupied <br /> <i>(Example: The new employee bumped her by moving into her office space)</i>,5
have_2,have,have ownership or possession of <br /> <i>(Example: How many cars does she have?)</i>,undergo <br /> <i>(Example: The stocks had a fast run-up)</i>,cause to do; cause to act in a specified manner <br /> <i>(Example: My wife had me buy a new sofa)</i>,go through (mental or physical states or experiences) <br /> <i>(Example: Have a feeling)</i>,cause to move; cause to be in a certain position or condition <br /> <i>(Example: I'll have them moved to another room)</i>,5
stove_1,stove,a kitchen appliance used for cooking food <br /> <i>(Example: Dinner was already on the stove)</i>,any heating apparatus <br /> <i>(Example: Boil some water on the stove)</i>,,,,2
take_9,take,occupy or take on <br /> <i>(Example: She took her seat on the stange)</i>,develop a habit <br /> <i>(Example: He took to visiting bars)</i>,,,,2
bird_1,bird,warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings <br /> <i>(Example: Birds filled the air)</i>,informal terms for a (young) woman <br /> <i>(Example: She hated being called a bird)</i>,badminton equipment consisting of a ball of cork or rubber with a crown of feathers <br /> <i>(Example: The bird flew past and hit the racket)</i>,a cry or noise made to express displeasure or contempt <br /> <i>(Example: Don't make a bird)</i>,the flesh of a bird or fowl (wild or domestic) used as food <br /> <i>(Example: Do you want to eat bird?)</i>,5
lamp_1,lamp,an artificial source of visible illumination <br /> <i>(Example: The street lamps went on at 8pm)</i>,"a piece of furniture holding one or more electric light bulbs <br /> <i>(Example: Turn on the lamp, it's so dark in here)</i>",,,,2
spill_1,spill,reduce the pressure of wind on (a sail) <br /> <i>(Example: The mainsheet may be loosened to spill wind)</i>,pour out in drops or small quantities or as if in drops or small quantities <br /> <i>(Example: Spill blood)</i>,"flow, run or fall out and become lost <br /> <i>(Example: The milk spilled across the floor)</i>",cause or allow (a liquid substance) to run or flow from a container <br /> <i>(Example: Spill the milk)</i>,reveal information <br /> <i>(Example: The former employee spilled all the details)</i>,5
lion_1,lion,"(astrology) a person who is born while the sun is in Leo <br /> <i>(Example: My sister is such a lion, I can't see her as anythign but a leo)</i>",large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male <br /> <i>(Example: Most lions live in family groups called prides)</i>,"a celebrity who is lionized (much sought after) <br /> <i>(Example: He's such a lion, everyone wants to work with him)</i>",,,3
fall_2,fall,fall or flow in a certain way <br /> <i>(Example: It's gonna fall over in a minute)</i>,move in a specified direction <br /> <i>(Example: The line of men fall forward)</i>,be inherited by <br /> <i>(Example: The estate fell to your sister)</i>,"decrease in size, extent, or range <br /> <i>(Example: His voice fell to a whisper)</i>",come as if by falling <br /> <i>(Example: Night fell)</i>,5
finish_2,finish,finish eating all the food on one's plate or on the table <br /> <i>(Example: Mommy will finish your soup)</i>,,,,,1
ear_1,ear,the sense organ for hearing and equilibrium <br /> <i>(Example: The smallest bones are hidden deep inside our ears)</i>,fruiting spike of a cereal plant especially corn <br /> <i>(Example: I ate an ear of corn)</i>,attention to what is said <br /> <i>(Example: He tried to get her ear)</i>,good hearing <br /> <i>(Example: He had a keen ear)</i>,"the externally visible cartilaginous structure of the external ear <br /> <i>(Example: I don't think it's behind your ear, is it?)</i>",5
blanket_1,blanket,anything that covers <br /> <i>(Example: There was a blanket of snow)</i>,bedding that keeps a person warm in bed <br /> <i>(Example: Do you need another blanket?)</i>,,,,2
sweater_1,sweater,a crocheted or knitted garment covering the upper part of the body <br /> <i>(Example: Grandma made you so many nice sweaters didn't she)</i>,a person who perspires <br /> <i>(Example: I'm a huge sweater when I exercise)</i>,,,,2
slow_2,slow,at a slow tempo <br /> <i>(Example: The band played a slow waltz)</i>,,,,,1
work_5,work,cause to operate or function <br /> <i>(Example: This pilot works the controls)</i>,exert oneself by doing mental or physical work for a purpose or out of necessity <br /> <i>(Example: I will work hard to improve my grades)</i>,have an effect or outcome; often the one desired or expected <br /> <i>(Example: The voting process doesn't work as well as people thought)</i>,"operate in a certain place, area, or specialty <br /> <i>(Example: She works the night clubs)</i>",cause to undergo fermentation <br /> <i>(Example: The vintner worked the wine in big oak vats)</i>,5
knock_2,knock,rap with the knuckles <br /> <i>(Example: Knock on the door)</i>,,,,,1
jump_2,jump,"start (a car engine whose battery is dead) by connecting it to another car's battery <br /> <i>(Example: Can you give me a jump, my battery is dead)</i>","move or jump suddenly, as if in surprise or alarm <br /> <i>(Example: Did the spider make you jump?)</i>",be highly noticeable <br /> <i>(Example: Does anything jump out to you?)</i>,bypass <br /> <i>(Example: You jumped the best part of the book)</i>,cause to jump or leap <br /> <i>(Example: The trainer jumped the tiger through the hoop)</i>,5
buy_1,buy,acquire by trade or sacrifice or exchange <br /> <i>(Example: She wanted to buy his love with her dedication to him and his work)</i>,make illegal payments to in exchange for favors or influence <br /> <i>(Example: This judge can be bought)</i>,obtain by purchase; acquire by means of a financial transaction <br /> <i>(Example: I need to buy some eggs)</i>,accept as true <br /> <i>(Example: I can't buy this story)</i>,be worth or be capable of buying <br /> <i>(Example: This sum will buy you a ride on the train)</i>,5
mouse_1,mouse,any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails <br /> <i>(Example: The harvest mouse is only five inches from its nose to its tail)</i>,a hand-operated electronic device that controls the coordinates of a cursor on your computer screen as you move it around on a pad; on the bottom of the device is a ball that rolls on the surface of the pad <br /> <i>(Example: A mouse takes much more room than a trackball)</i>,person who is quiet or timid <br /> <i>(Example: He's such a mouse in class)</i>,a swollen bruise caused by a blow to the eye <br /> <i>(Example: He got a mouse on his eye after the fight)</i>,,4
wet_1,wet,containing moisture or volatile components <br /> <i>(Example: Wet paint)</i>,supporting or permitting the legal production and sale of alcoholic beverages <br /> <i>(Example: A wet candidate running on a wet platform)</i>,producing or secreting milk <br /> <i>(Example: A wet nurse)</i>,consisting of or trading in alcoholic liquor <br /> <i>(Example: A wet cargo)</i>,covered or soaked with a liquid such as water <br /> <i>(Example: A wet bathing suit)</i>,5
dirty_1,dirty,unpleasantly stormy <br /> <i>(Example: There's dirty weather in the offing)</i>,unethical or dishonest <br /> <i>(Example: Dirty police officers)</i>,spreading pollution or contamination; especially radioactive contamination <br /> <i>(Example: The air near the foundry was always dirty)</i>,soiled or likely to soil with dirt or grime <br /> <i>(Example: Dirty unswept sidewalks)</i>,violating accepted standards or rules <br /> <i>(Example: A dirty fighter)</i>,5
fit_1,fit,be the right size or shape; fit correctly or as desired <br /> <i>(Example: This piece won't fit into the puzzle)</i>,be agreeable or acceptable to <br /> <i>(Example: This fits my needs)</i>,conform to some shape or size <br /> <i>(Example: How does this shirt fit?)</i>,make fit <br /> <i>(Example: Fit a dress)</i>,"provide with (something) usually for a specific purpose <br /> <i>(Example: The expedition was fitted with proper clothing, food, and other necessities)</i>",5
hammer_2,hammer,the act of pounding (delivering repeated heavy blows) <br /> <i>(Example: The sudden hammer of fists caught him off guard)</i>,a power tool for drilling rocks <br /> <i>(Example: Drill the rock with the hammer)</i>,the part of a gunlock that strikes the percussion cap when the trigger is pulled <br /> <i>(Example: The hammer in the gun malfunctioned)</i>,,,3
door_1,door,anything providing a means of access (or escape) <br /> <i>(Example: We closed the door to Haitian immigrants)</i>,a room that is entered via a door <br /> <i>(Example: His office is the third door down the hall on the left)</i>,a structure where people live or work (usually ordered along a street or road) <br /> <i>(Example: The office next door)</i>,a swinging or sliding barrier that will close the entrance to a room or building or vehicle <br /> <i>(Example: He knocked on the door)</i>,the entrance (the space in a wall) through which you enter or leave a room or building; the space that a door can close <br /> <i>(Example: He stuck his head in the doorway)</i>,5
book_1,book,the sacred writings of the Christian religions <br /> <i>(Example: What is your favorite passage from The Book?)</i>,a written work or composition that has been published (printed on pages bound together) <br /> <i>(Example: I am reading a good book on economics)</i>,the sacred writings of Islam revealed by God to the prophet Muhammad during his life at Mecca and Medina <br /> <i>(Example: The Holy Book of Islam is also known as the Quran)</i>,a collection of rules or prescribed standards on the basis of which decisions are made <br /> <i>(Example: They run things by the book around here)</i>,physical objects consisting of a number of pages bound together <br /> <i>(Example: He used a large book as a doorstop)</i>,5
good_5,good,of moral excellence <br /> <i>(Example: A genuinely good person)</i>,,,,,1
touch_1,touch,affect emotionally <br /> <i>(Example: I was touched by your kind letter of sympathy)</i>,be in direct physical contact with; make contact <br /> <i>(Example: The two buildings touch)</i>,make a more or less disguised reference to <br /> <i>(Example: He touched on the problem but did not mention it)</i>,comprehend <br /> <i>(Example: He could not touch the meaning of the poem)</i>,have an effect upon <br /> <i>(Example: That really touched me)</i>,5
cut_3,cut,pass directly and often in haste <br /> <i>(Example: We cut through the neighbor's yard to get home sooner)</i>,hit (a ball) with a spin so that it turns in the opposite direction <br /> <i>(Example: Cut a Ping-Pong ball)</i>,"form by probing, penetrating, or digging <br /> <i>(Example: Cut a hole)</i>",make an incision or separation <br /> <i>(Example: Cut along the dotted line)</i>,pass through or across <br /> <i>(Example: The boat cut the water)</i>,5
shirt_1,shirt,"a garment worn on the upper half of the body <br /> <i>(Example: Put your shirt back on, please)</i>",,,,,1
story_2,story,a piece of fiction that narrates a chain of related events <br /> <i>(Example: Can you read me a story?)</i>,,,,,1
leg_1,leg,one of the supports for a piece of furniture <br /> <i>(Example: Tripod means it's something with three legs)</i>,the limb of an animal used for food <br /> <i>(Example: It's a chicken leg)</i>,"a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle <br /> <i>(Example: Put your legs back in your pants, please)</i>",a section or portion of a journey or course <br /> <i>(Example: The next leg of the race is a tough one)</i>,a prosthesis that replaces a missing leg <br /> <i>(Example: My new leg is expensive but it should last longer than my last one)</i>,5
run_3,run,occur persistently <br /> <i>(Example: Musical talent runs in the family)</i>,"be operating, running or functioning <br /> <i>(Example: The car is still running--turn it off!)</i>",pursue for food or sport (as of wild animals) <br /> <i>(Example: The dogs are running deer)</i>,come unraveled or undone as if by snagging <br /> <i>(Example: Her nylons were running)</i>,sail before the wind <br /> <i>(Example: On a run your sails can be let out on opposite side of the boat)</i>,5
windy_1,windy,"resembling the wind in speed, force, or variability <br /> <i>(Example: A windy dash home)</i>",abounding in or exposed to the wind or breezes <br /> <i>(Example: A windy bluff)</i>,not practical or realizable; speculative <br /> <i>(Example: Windy schemes for getting rich)</i>,using or containing too many words <br /> <i>(Example: Long-winded (or windy) speakers)</i>,,4
