get_4,get,achieve a point or goal <br /> <i>(Example: The Brazilian team got 4 goals)</i>,receive as a retribution or punishment <br /> <i>(Example: Gonna get a smack in a bit)</i>,come to have or undergo a change of (physical features and attributes) <br /> <i>(Example: His eyes get big and soft)</i>,give certain properties to something <br /> <i>(Example: Get someone mad)</i>,come into the possession of something concrete or abstract <br /> <i>(Example: She got a lot of paintings from her uncle)</i>,5
swim_1,swim,be dizzy or giddy <br /> <i>(Example: My brain is swimming after the bottle of champagne)</i>,be afloat either on or below a liquid surface and not sink to the bottom <br /> <i>(Example: He began to swim across the pool surface)</i>,move as if gliding through water <br /> <i>(Example: This snake swims through the soil where it lives)</i>,travel through water <br /> <i>(Example: We had to swim for 20 minutes to reach the shore)</i>,be covered with or submerged in a liquid <br /> <i>(Example: The meat was swimming in a fatty gravy)</i>,5
moon_1,moon,any natural satellite of a planet <br /> <i>(Example: Jupiter has sixteen moons)</i>,the period between successive new moons (29.531 days) <br /> <i>(Example: Many moons from now)</i>,the light of the Moon <br /> <i>(Example: Moonlight is the smuggler's enemy)</i>,any object resembling a moon <br /> <i>(Example: He made a moon lamp that he used as a night light)</i>,the natural satellite of the Earth <br /> <i>(Example: Men first stepped on the moon in 1969)</i>,5
draw_2,draw,bring or lead someone to a certain action or condition <br /> <i>(Example: She was drawn to despair)</i>,engage in drawing <br /> <i>(Example: He spent the day drawing in the garden)</i>,"pull (a person) apart with four horses tied to his extremities, so as to execute him <br /> <i>(Example: In the old days, people were drawn and quartered for certain crimes)</i>",allow a draft <br /> <i>(Example: This chimney draws very well)</i>,cause to flow <br /> <i>(Example: The nurse drew blood)</i>,5
clap_2,clap,strike the air in flight <br /> <i>(Example: The wings of the birds clapped loudly)</i>,cause to strike the air in flight <br /> <i>(Example: The big bird clapped its wings)</i>,,,,2
water_1,water,liquid excretory product <br /> <i>(Example: The child had to make water)</i>,a liquid necessary for the life of most animals and plants <br /> <i>(Example: He asked for a drink of water)</i>,the part of the earth's surface covered with water (such as a river or lake or ocean) <br /> <i>(Example: They invaded our territorial waters)</i>,once thought to be one of four elements composing the universe (Empedocles) <br /> <i>(Example: I am a water sign)</i>,a facility that provides a source of water <br /> <i>(Example: The town debated the purification of the water supply)</i>,5
cheerios_1,cheerios,"a farewell remark <br /> <i>(Example: Cheerio, govna!', said the American)</i>",,,,,1
make_10,make,be or be capable of being changed or made into <br /> <i>(Example: He makes a great host)</i>,carry out or commit <br /> <i>(Example: Make a mistake)</i>,behave in a certain way <br /> <i>(Example: Make merry)</i>,cause to do; cause to act in a specified manner <br /> <i>(Example: My wife made me buy a new sofa)</i>,,4
hurt_1,hurt,damaged inanimate objects or their value <br /> <i>(Example: The furniture's value was hurt)</i>,suffering from physical injury especially that suffered in battle <br /> <i>(Example: Ambulances. For the hurt men and women)</i>,,,,2
dry_4,dry,having a large proportion of strong liquor <br /> <i>(Example: A very dry martini is almost straight gin)</i>,,,,,1
open_1,open,start to operate or function or cause to start operating or functioning <br /> <i>(Example: Open a business)</i>,display the contents of a file or start an application as on a computer <br /> <i>(Example: Open the word document)</i>,cause to open or to become open <br /> <i>(Example: Mary opened the car door)</i>,afford access to <br /> <i>(Example: The door opens to the patio)</i>,have an opening or passage or outlet <br /> <i>(Example: The bedrooms open into the hall)</i>,5
mad_1,mad,marked by uncontrolled excitement or emotion <br /> <i>(Example: A mad whirl of pleasure)</i>,affected with madness or insanity <br /> <i>(Example: A man who had gone mad)</i>,roused to anger <br /> <i>(Example: She gets mad when you wake her up so early)</i>,very foolish <br /> <i>(Example: A completely mad scheme to build a bridge between two mountains)</i>,,4
pants_1,pants,"(usually in the plural) a garment extending from the waist to the knee or ankle, covering each leg separately <br /> <i>(Example: Put on your pants please)</i>",underpants worn by women <br /> <i>(Example: Oh be careful your pants are showing)</i>,a short labored intake of breath with the mouth open <br /> <i>(Example: She gave a pant and fainted)</i>,the noise made by a short puff of steam (as from an engine) <br /> <i>(Example: You could hear the train's pant from a mile away)</i>,,4
read_2,read,interpret something in a certain way; convey a particular meaning or impression <br /> <i>(Example: I read this address as a satire)</i>,have or contain a certain wording or form <br /> <i>(Example: The passage reads as follows)</i>,audition for a stage role by reading parts of a role <br /> <i>(Example: He is reading for 'Julius Caesar' at stratford this year)</i>,be a student of a certain subject <br /> <i>(Example: She is reading for the bar exam)</i>,obtain data from magnetic tapes <br /> <i>(Example: This dictionary can be read by the computer)</i>,5
hot_3,hot,having or dealing with dangerously high levels of radioactivity <br /> <i>(Example: Hot fuel rods)</i>,(color) bold and intense <br /> <i>(Example: Hot pink)</i>,extended meanings; especially of psychological heat; marked by intensity or vehemence especially of passion or enthusiasm <br /> <i>(Example: A hot temper)</i>,characterized by violent and forceful activity or movement; very intense <br /> <i>(Example: The fighting became hot and heavy)</i>,recently stolen or smuggled <br /> <i>(Example: Hot merchandise)</i>,5
toe_1,toe,one of the digits of the foot <br /> <i>(Example: Did you stub your toe?)</i>,the part of footwear that provides a covering for the toes <br /> <i>(Example: You stepped on the toe of my shoe!)</i>,forepart of a hoof <br /> <i>(Example: It's time to repair the toes of the horses)</i>,(golf) the part of a clubhead farthest from the shaft <br /> <i>(Example: Hit the golf ball with the toe)</i>,,4
drive_3,drive,hunting: chase from cover into more open ground <br /> <i>(Example: Drive the game)</i>,"hit very hard, as by swinging a bat horizontally <br /> <i>(Example: Drive a ball)</i>",hunting: search for game <br /> <i>(Example: Drive the forest)</i>,work as a driver <br /> <i>(Example: He drives a bread truck)</i>,travel or be transported in a vehicle <br /> <i>(Example: We drove to the university every morning)</i>,5
swing_2,swing,a style of jazz played by big bands popular in the 1930s; flowing rhythms but less complex than later styles of jazz <br /> <i>(Example: I love to listen to swing)</i>,a square dance figure; a pair of dancers join hands and dance around a point between them <br /> <i>(Example: Do you know swing?)</i>,a sweeping blow or stroke <br /> <i>(Example: He took a wild swing at my head)</i>,a state of steady vigorous action that is characteristic of an activity <br /> <i>(Example: The party went with a swing)</i>,,4
dry_3,dry,humorously sarcastic or mocking <br /> <i>(Example: Dry humor)</i>,(of liquor) having a low residual sugar content because of decomposition of sugar during fermentation <br /> <i>(Example: A dry white burgundy)</i>,lacking moisture or volatile components <br /> <i>(Example: Dry paint)</i>,lacking warmth or emotional involvement <br /> <i>(Example: A dry greeting)</i>,(of food) eaten without a spread or sauce or other garnish <br /> <i>(Example: Dry toast)</i>,5
throw_1,throw,cause to be confused emotionally <br /> <i>(Example: His sudden change of mood threw me)</i>,"organize or be responsible for <br /> <i>(Example: Have, throw, or make a party)</i>",cause to go on or to be engaged or set in operation <br /> <i>(Example: Throw the lever)</i>,"move violently, energetically, or carelessly <br /> <i>(Example: She threw herself forwards)</i>",make on a potter's wheel <br /> <i>(Example: She threw a beautiful teapot)</i>,5
bedroom_1,bedroom,a room used primarily for sleeping <br /> <i>(Example: Go to your bedroom)</i>,,,,,1
get_3,get,leave immediately; used usually in the imperative form <br /> <i>(Example: Do you wanna get out of here?)</i>,enter or assume a certain state or condition <br /> <i>(Example: It must be getting more serious)</i>,overcome or destroy <br /> <i>(Example: The cat got the goldfish)</i>,"communicate with a place or person; establish communication with, as if by telephone <br /> <i>(Example: The operator couldn't get Kobe because of the earthquake)</i>",take vengeance on or get even <br /> <i>(Example: We'll get them!)</i>,5
broom_1,broom,any of various shrubs of the genera Cytisus or Genista or Spartium having long slender branches and racemes of yellow flowers <br /> <i>(Example: Brooms tolerate poor soils and growing conditions)</i>,a cleaning implement for sweeping; bundle of straws or twigs attached to a long handle <br /> <i>(Example: Get the broom and clean up this mess)</i>,common Old World heath represented by many varieties; low evergreen grown widely in the northern hemisphere <br /> <i>(Example: The broom tree is a desert shrub)</i>,,,3
couch_1,couch,"an upholstered seat for more than one person <br /> <i>(Example: Come sit on the couch, please)</i>",a narrow bed on which a patient lies during psychiatric or psychoanalytic treatment <br /> <i>(Example: Freud always had people lay on his couch during analysis)</i>,,,,2
knife_1,knife,any long thin projection that is transient <br /> <i>(Example: Rifles exploded quick knives of fire into the dark)</i>,a weapon with a handle and blade with a sharp point <br /> <i>(Example: She carried a knife with her just in case)</i>,edge tool used as a cutting instrument; has a pointed blade with a sharp edge and a handle <br /> <i>(Example: Be careful in the kitchen when I'm holding a knife)</i>,,,3
hand_3,hand,the cards held in a card game by a given player at any given time <br /> <i>(Example: I didn't hold a good hand all evening)</i>,something written by hand <br /> <i>(Example: She recognized his handwriting)</i>,a hired laborer on a farm or ranch <br /> <i>(Example: The hired hand fixed the railing)</i>,a position given by its location to the side of an object <br /> <i>(Example: Objections were voiced on every hand)</i>,,4
toy_1,toy,any of several breeds of very small dogs kept purely as pets <br /> <i>(Example: I have a toy poodle)</i>,a copy that reproduces a person or thing in greatly reduced size <br /> <i>(Example: She has a toy stove so she can bake)</i>,a device regarded as providing amusement <br /> <i>(Example: Private airplanes are a rich man's toy)</i>,an artifact designed to be played with <br /> <i>(Example: You have to finish dinner before you can play with your toys)</i>,a nonfunctional replica of something else (frequently used as a modifier) <br /> <i>(Example: A toy stove)</i>,5
dump_2,dump,drop (stuff) in a heap or mass <br /> <i>(Example: The truck dumped the garbage in the street)</i>,,,,,1
hit_1,hit,encounter by chance <br /> <i>(Example: We hit a snowstorm when driving home)</i>,gain points in a game <br /> <i>(Example: He hit a home run)</i>,drive something violently into a location <br /> <i>(Example: He hit his fist on the table)</i>,cause to experience suddenly <br /> <i>(Example: An interesting idea hit her)</i>,"reach a point in time, or a certain state or level <br /> <i>(Example: The thermometer hit 100 degrees)</i>",5
fix_1,fix,take vengeance on or get even <br /> <i>(Example: That'll fix him good!)</i>,restore by replacing a part or putting together what is torn or broken <br /> <i>(Example: Maybe the farmer can fix it with a screwdriver)</i>,"make ready or suitable or equip in advance for a particular purpose or for some use, event, etc <br /> <i>(Example: I was fixing to leave town after I paid the hotel bill)</i>",make infertile <br /> <i>(Example: You need to fix your dog)</i>,decide upon or fix definitely <br /> <i>(Example: Fix the variables)</i>,5
wolf_1,wolf,"a cruelly rapacious person <br /> <i>(Example: Be caredul with him, he's a wolf and a brute)</i>","any of various predatory carnivorous canine mammals of North America and Eurasia that usually hunt in packs <br /> <i>(Example: Those are very fast animals, a wolf)</i>",a man who is aggressive in making amorous advances to women <br /> <i>(Example: Be careful of the wolves in the bar)</i>,,,3
rip_1,rip,cut (wood) along the grain <br /> <i>(Example: He riped the wood for making a table)</i>,move precipitously or violently <br /> <i>(Example: The tornado ripped along the coast)</i>,criticize or abuse strongly and violently <br /> <i>(Example: The candidate ripped into his opponent mercilessly)</i>,tear or be torn violently <br /> <i>(Example: The curtain ripped from top to bottom)</i>,,4
ankle_1,ankle,a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus <br /> <i>(Example: Be careful you're walking around with your pants down by your ankles)</i>,,,,,1
get_7,get,reach by calculation <br /> <i>(Example: What do you get when you add up these numbers?)</i>,make children <br /> <i>(Example: John got four daughters)</i>,"be stricken by an illness, fall victim to an illness <br /> <i>(Example: You're going to get a cold!)</i>",take the first step or steps in carrying out an action <br /> <i>(Example: Let's get down to work now)</i>,evoke an emotional response <br /> <i>(Example: Brahms's `Requiem' gets me every time)</i>,5
catch_2,catch,grasp with the mind or develop an understanding of <br /> <i>(Example: Did you catch that allusion?)</i>,take hold of so as to seize or restrain or stop the motion of <br /> <i>(Example: Catch the ball!)</i>,catch up with and possibly overtake <br /> <i>(Example: The Rolls Royce caught us near the exit ramp)</i>,"succeed in catching or seizing, especially after a chase <br /> <i>(Example: Did you catch the thief?)</i>","capture as if by hunting, snaring, or trapping <br /> <i>(Example: Sleek seals catch fish as they splash in and out of the water)</i>",5
chair_1,chair,an instrument of execution by electrocution; resembles an ordinary seat for one person <br /> <i>(Example: The murderer was sentenced to die in the chair)</i>,the officer who presides at the meetings of an organization <br /> <i>(Example: Address your remarks to the chairperson)</i>,"a seat for one person, with a support for the back <br /> <i>(Example: He put his coat over the back of the chair and sat down)</i>",the position of professor <br /> <i>(Example: He was awarded an endowed chair in economics)</i>,a particular seat in an orchestra <br /> <i>(Example: He is second chair violin)</i>,5
white_1,white,benevolent; without malicious intent <br /> <i>(Example: That's white of you)</i>,(of hair) having lost its color <br /> <i>(Example: The white hairs of old age)</i>,of summer nights in northern latitudes where the sun barely sets <br /> <i>(Example: White nights)</i>,of or belonging to a racial group having light skin coloration <br /> <i>(Example: Voting patterns within the white population)</i>,glowing white with heat <br /> <i>(Example: White flames)</i>,5
find_2,find,receive a specified treatment (abstract) <br /> <i>(Example: These aspects of civilization do not find expression or receive an interpretation)</i>,decide on and make a declaration about <br /> <i>(Example: Find someone guilty)</i>,"establish after a calculation, investigation, experiment, survey, or study <br /> <i>(Example: Find the product of two numbers)</i>",get something or somebody for a specific purpose <br /> <i>(Example: Can you find me ice cream to go with the ice cream cone)</i>,"come to believe on the basis of emotion, intuitions, or indefinite grounds <br /> <i>(Example: I find him to be obnoxious)</i>",5
trash_1,trash,"worthless people <br /> <i>(Example: She's trash, don't talk to her)</i>",worthless material that is to be disposed of <br /> <i>(Example: Okay let's leave the trash bags here)</i>,an amphetamine derivative (trade name Methedrine) used in the form of a crystalline hydrochloride; used as a stimulant to the nervous system and as an appetite suppressant <br /> <i>(Example: I'm looking to score some trash)</i>,nonsensical talk or writing <br /> <i>(Example: Stop talking trash)</i>,,4
jello_1,jello,fruit-flavored dessert (trade mark Jell-O) made from a commercially prepared gelatin powder <br /> <i>(Example: I had jello for dessert)</i>,,,,,1
dog_2,dog,someone who is morally reprehensible <br /> <i>(Example: You dirty dog)</i>,,,,,1
drop_4,drop,grow worse <br /> <i>(Example: He conditions dropped)</i>,leave undone or leave out <br /> <i>(Example: How could I drop that typo?)</i>,lose (a game) <br /> <i>(Example: The Giants dropped 11 of their first 13)</i>,leave or unload <br /> <i>(Example: Drop off the passengers at the hotel)</i>,terminate an association with <br /> <i>(Example: Drop him from the Republican ticket)</i>,5
